tempo_ms,hx_raw,hx_net,invalid,beep_up,beep_down,trim_release,limit_top,limit_bottom,movement,ap,hyd,pos
85136,271854,56593,0,0,0,0,0,0,0,0,0,0
85427,271119,55858,0,0,0,0,0,0,0,0,0,0
85719,264781,49520,0,0,0,0,0,0,0,0,0,0
86010,270054,54793,0,0,0,0,0,0,0,0,0,0
86302,271120,55859,0,0,0,0,0,0,0,0,0,0
86593,271249,55988,0,0,0,0,0,0,0,0,0,0
86885,271201,55940,0,0,0,0,0,0,0,0,0,0
87177,271152,55891,0,0,0,0,0,0,0,0,0,0
87468,270932,55671,0,0,0,0,0,0,0,0,0,0
87759,271177,55916,0,0,0,0,0,0,0,0,0,0
88051,270977,55716,0,0,0,0,0,0,0,0,0,0
88343,271239,55978,0,0,0,0,0,0,0,0,0,0
88634,271094,55833,0,0,0,0,0,0,0,0,0,0
88925,271068,55807,0,0,0,0,0,0,0,0,0,0
89217,271247,55986,0,0,0,0,0,0,0,0,0,0
89509,271178,55917,0,0,0,0,0,0,0,0,0,0
89800,271082,55821,0,0,0,0,0,0,0,0,0,0
90092,270597,55336,0,0,0,0,0,0,0,0,0,0
90383,270747,55486,0,0,0,0,0,0,0,0,0,0
90675,270735,55474,0,0,0,0,0,0,0,0,0,0
90966,270274,55013,0,0,0,0,0,0,0,0,0,0
91258,270341,55080,0,0,0,0,0,0,0,0,0,0
91550,270553,55292,0,0,0,0,0,0,0,0,0,0
91841,270813,55552,0,0,0,0,0,0,0,0,0,0
92133,271062,55801,0,0,0,0,0,0,0,0,0,0
92424,271617,56356,0,0,0,0,0,0,0,0,0,0
92716,271525,56264,0,0,0,0,0,0,0,0,0,0
93007,271545,56284,0,0,0,0,0,0,0,0,0,0
93298,271258,55997,0,0,0,0,0,0,0,0,0,0
93591,271310,56049,0,0,0,0,0,0,0,0,0,0
93882,270930,55669,0,0,0,0,0,0,0,0,0,0
94173,270766,55505,0,0,0,0,0,0,0,0,0,0
94465,270902,55641,0,0,0,0,0,0,0,0,0,0
94756,271110,55849,0,0,0,0,0,0,0,0,0,0
95048,270760,55499,0,0,0,0,0,0,0,0,0,0
95340,270713,55452,0,0,0,0,0,0,0,0,0,0
95631,270571,55310,0,0,0,0,0,0,0,0,0,0
95923,270584,55323,0,0,0,0,0,0,0,0,0,0
96214,271175,55914,0,0,0,0,0,0,0,0,0,0
96505,271143,55882,0,0,0,0,0,0,0,0,0,0
96797,270661,55400,0,0,0,0,0,0,0,0,0,0
97088,270497,55236,0,0,0,0,0,0,0,0,0,0
97381,270453,55192,0,0,0,0,0,0,0,0,0,0
97672,270625,55364,0,0,0,0,0,0,0,0,0,0
97963,270547,55286,0,0,0,0,0,0,0,0,0,0
98255,270338,55077,0,0,0,0,0,0,0,0,0,0
98546,270395,55134,0,0,0,0,0,0,0,0,0,0
98838,270474,55213,0,0,0,0,0,0,0,0,0,0
99129,270365,55104,0,0,0,0,0,0,0,0,0,0
99421,270685,55424,0,0,0,0,0,0,0,0,0,0
99713,270488,55227,0,0,0,0,0,0,0,0,0,0
100004,270405,55144,0,0,0,0,0,0,0,0,0,0
100295,270093,54832,0,0,0,0,0,0,0,0,0,0
100587,270223,54962,0,0,0,0,0,0,0,0,0,0
100878,270390,55129,0,0,0,0,0,0,0,0,0,0
101171,270543,55282,0,0,0,0,0,0,0,0,0,0
101462,270819,55558,0,0,0,0,0,0,0,0,0,0
101753,270901,55640,0,0,0,0,0,0,0,0,0,0
102045,271081,55820,0,0,0,0,0,0,0,0,0,0
102336,271187,55926,0,0,0,0,0,0,0,0,0,0
102627,271385,56124,0,0,0,0,0,0,0,0,0,0
