tempo_ms,hx_raw,hx_net,delta,spikes,invalid
138666,248314,-811,94,0,1
138959,248114,-1011,-200,0,1
139252,248206,-919,92,0,1
139544,248268,-857,62,0,1
139837,248194,-931,-74,0,1
140130,248216,-909,22,0,1
140423,248302,-823,86,0,1
140716,248269,-856,-33,0,1
141009,248381,-744,112,0,1
141301,248355,-770,-26,0,1
141594,248393,-732,38,0,1
141887,248304,-821,-89,0,1
142180,248288,-837,-16,0,1
142474,248335,-790,47,0,1
142766,248375,-750,40,0,1
143059,248370,-755,-5,0,1
143352,248186,-939,-184,0,1
143645,248092,-1033,-94,0,1
143938,248234,-891,142,0,1
144231,248260,-865,26,0,1
144524,248352,-773,92,0,1
144816,248211,-914,-141,0,1
145109,248308,-817,97,0,1
145402,248475,-650,167,0,1
145695,248457,-668,-18,0,1
145988,248201,-924,-256,0,1
146280,248248,-877,47,0,1
146573,248378,-747,130,0,1
146866,248385,-740,7,0,1
147159,248332,-793,-53,0,1
147452,248383,-742,51,0,1
147745,248310,-815,-73,0,1
148038,248197,-928,-113,0,1
148331,248299,-826,102,0,1
148623,248168,-957,-131,0,1
148916,248322,-803,154,0,1
149209,248240,-885,-82,0,1
149502,248194,-931,-46,0,1
149795,248231,-894,37,0,1
150088,248142,-983,-89,0,1
150380,248265,-860,123,0,1
150674,248413,-712,148,0,1
150966,248312,-813,-101,0,1
151259,248490,-635,178,0,1
151552,248421,-704,-69,0,1
151845,248469,-656,48,0,1
152138,248291,-834,-178,0,1
152431,248340,-785,49,0,1
152723,248358,-767,18,0,1
153017,248309,-816,-49,0,1
153309,248314,-811,5,0,1
153602,248434,-691,120,0,1
153895,248261,-864,-173,0,1
154188,248124,-1001,-137,0,1
154480,248356,-769,232,0,1
154774,248415,-710,59,0,1
155066,248326,-799,-89,0,1
155359,248262,-863,-64,0,1
155652,248407,-718,145,0,1
155945,248224,-901,-183,0,1
156238,248286,-839,62,0,1
156531,248368,-757,82,0,1
156823,248142,-983,-226,0,1
157117,248286,-839,144,0,1
157409,248404,-721,118,0,1
157702,248349,-776,-55,0,1
157995,248334,-791,-15,0,1
158288,248341,-784,7,0,1
158581,248330,-795,-11,0,1
158873,248190,-935,-140,0,1
159167,248283,-842,93,0,1
159459,248338,-787,55,0,1
159752,248256,-869,-82,0,1
160045,248176,-949,-80,0,1
160338,248154,-971,-22,0,1
160631,248234,-891,80,0,1
160924,248224,-901,-10,0,1
161217,248238,-887,14,0,1
161509,248124,-1001,-114,0,1
161803,248154,-971,30,0,1
162095,248115,-1010,-39,0,1
162389,248207,-918,92,0,1
162681,248272,-853,65,0,1
162974,248288,-837,16,0,1
163266,248175,-950,-113,0,1
163560,248181,-944,6,0,1
163853,248138,-987,-43,0,1
164145,248419,-706,281,0,1
164439,248284,-841,-135,0,1
164732,248315,-810,31,0,1
165024,248213,-912,-102,0,1
165317,248156,-969,-57,0,1
165609,248090,-1035,-66,0,1
165903,248246,-879,156,0,1
166195,248183,-942,-63,0,1
166489,248066,-1059,-117,0,1
166781,248240,-885,174,0,1
167075,248155,-970,-85,0,1
167367,248270,-855,115,0,1
167660,248391,-734,121,0,1
167953,248312,-813,-79,0,1
168246,248192,-933,-120,0,1
168538,248274,-851,82,0,1
168832,248021,-1104,-253,0,1
169125,248196,-929,175,0,1
169417,248264,-861,68,0,1
169711,248322,-803,58,0,1
170003,248206,-919,-116,0,1
170296,248314,-811,108,0,1
170589,248359,-766,45,0,1
170882,248320,-805,-39,0,1
171175,248160,-965,-160,0,1
171468,248159,-966,-1,0,1
171760,248229,-896,70,0,1
172054,248364,-761,135,0,1
172346,248437,-688,73,0,1
172639,248193,-932,-244,0,1
172932,248318,-807,125,0,1
173224,248356,-769,38,0,1
173518,248363,-762,7,0,1
173811,248263,-862,-100,0,1
174103,248177,-948,-86,0,1
174397,248305,-820,128,0,1
174689,248350,-775,45,0,1
174982,248401,-724,51,0,1
175275,248285,-840,-116,0,1
175568,248427,-698,142,0,1
175860,248551,-574,124,0,1
176154,248355,-770,-196,0,1
176446,248439,-686,84,0,1
176740,248326,-799,-113,0,1
177032,248256,-869,-70,0,1
177325,248384,-741,128,0,1
177618,248343,-782,-41,0,1
177911,248387,-738,44,0,1
178204,248346,-779,-41,0,1
178496,248208,-917,-138,0,1
178789,248430,-695,222,0,1
179083,248277,-848,-153,0,1
179375,248390,-735,113,0,1
179668,248419,-706,29,0,1
179961,248295,-830,-124,0,1
180254,248426,-699,131,0,1
180547,248373,-752,-53,0,1
180840,248359,-766,-14,0,1
181132,248500,-625,141,0,1
181426,248224,-901,-276,0,1
181718,248380,-745,156,0,1
182011,248097,-1028,-283,0,1
182304,248473,-652,376,0,1
182597,248496,-629,23,0,1
182890,248297,-828,-199,0,1
183182,248362,-763,65,0,1
183475,248322,-803,-40,0,1
183768,248250,-875,-72,0,1
184062,248228,-897,-22,0,1
184354,248395,-730,167,0,1
184647,248294,-831,-101,0,1
184940,248393,-732,99,0,1
185232,248473,-652,80,0,1
185526,248431,-694,-42,0,1
185818,248349,-776,-82,0,1
186111,248322,-803,-27,0,1
186404,248457,-668,135,0,1
186697,248375,-750,-82,0,1
186989,248382,-743,7,0,1
187283,248453,-672,71,0,1
187576,248364,-761,-89,0,1
187869,248361,-764,-3,0,1
188162,248236,-889,-125,0,1
188454,248384,-741,148,0,1
188747,248292,-833,-92,0,1
189040,248495,-630,203,0,1
189333,248529,-596,34,0,1
189625,248500,-625,-29,0,1
189918,248402,-723,-98,0,1
190212,248394,-731,-8,0,1
190504,248376,-749,-18,0,1
190797,248388,-737,12,0,1
191090,248477,-648,89,0,1
191383,248258,-867,-219,0,1
191676,248373,-752,115,0,1
191969,248380,-745,7,0,1
192262,248427,-698,47,0,1
192555,248480,-645,53,0,1
192847,248464,-661,-16,0,1
193140,248396,-729,-68,0,1
193433,248383,-742,-13,0,1
193726,248466,-659,83,0,1
194019,248277,-848,-189,0,1
194312,248389,-736,112,0,1
194605,248436,-689,47,0,1
194898,248451,-674,15,0,1
195191,248259,-866,-192,0,1
195483,248215,-910,-44,0,1
195776,248209,-916,-6,0,1
196069,248467,-658,258,0,1
196362,248555,-570,88,0,1
196655,248461,-664,-94,0,1
196948,248658,-467,197,0,1
197241,248617,-508,-41,0,1
197534,248683,-442,66,0,1
197826,248884,-241,201,0,1
198119,248830,-295,-54,0,1
198412,248568,-557,-262,0,1
198705,248672,-453,104,0,1
198998,248736,-389,64,0,1
199291,248876,-249,140,0,1
199584,248822,-303,-54,0,1
199877,249081,-44,259,0,1
200169,248899,-226,-182,0,1
200462,248830,-295,-69,0,1
200755,248779,-346,-51,0,1
201048,248886,-239,107,0,1
201340,248812,-313,-74,0,1
201634,248551,-574,-261,0,1
201926,248806,-319,255,0,1
202219,248813,-312,7,0,1
202512,248668,-457,-145,0,1
202806,248722,-403,54,0,1
203098,248661,-464,-61,0,1
203391,248754,-371,93,0,1
203684,248774,-351,20,0,1
